name,artist,file name,half combo,full combo
solo skill,solo max score
5 solo point rank
combo,score,type,bar,pos
5 dual point rank
combo,combo,score,type,type,bar,pos,bar,pos

Bo Peep Bo Peep,T-ara,pinball\pinball_300187.xml.bytes,232,487
fire,1346242
431,48.6,SINGLE,73,32
432,48.6,SINGLE,73,40
435,48,SERIES,74,0
433,47.76,SINGLE,73,48
429,47.4,SERIES,73,16
fire,1549544
30,431,94.5958,LONG,SINGLE,11,0,73,32
34,431,94.4146,SERIES,SINGLE,11,24,73,32
33,431,94.365,SERIES,SINGLE,11,16,73,32
32,431,94.3154,SERIES,SINGLE,11,8,73,32
31,431,94.2658,SERIES,SINGLE,11,0,73,32

猫步轻俏,AOA,pinball\pinball_300194.xml.bytes,134,232
fire,665082
149,28.56,SINGLE,44,0
173,27.48,*2,48,0
102,27.48,*2,26,0
105,27.48,*2,27,0
98,27.3796,*2,24,48
fire,786548
105,149,56.04,*2,SINGLE,27,0,44,0
102,149,56.04,*2,SINGLE,26,0,44,0
98,149,55.9396,*2,SINGLE,24,48,44,0
97,149,55.8892,SLIP,SINGLE,24,18,44,0
96,149,55.8388,SINGLE,SINGLE,24,0,44,0

BONAMANA,Super Junior,pinball\pinball_300195.xml.bytes,146,378
fire,1346256
308,43.2,SERIES,74,32
255,42.36,*2,66,0
306,42,SERIES,74,16
305,42,*2,74,0
166,42,*2,52,0
fire,1533487
255,308,85.56,*2,SERIES,66,0,74,32
166,308,85.2,*2,SERIES,52,0,74,32
256,308,84.6,SINGLE,SERIES,66,16,74,32
254,308,84.36,LONG,SERIES,65,48,74,32
257,308,84.12,SINGLE,SERIES,66,24,74,32

禁绝边境线,Walküre,pinball\pinball_300003.xml.bytes,399,971
limit,2151764
665,56.16,LONG,72,0
666,55.8,SINGLE,72,0
660,55.8,SLIP,71,40
627,55.32,*2,68,16
676,55.32,*2,72,32
fire,2357780
564,665,111.24,SLIP,LONG,63,40,72,0
565,665,111.24,LONG,LONG,63,48,72,0
569,665,111,LONG,LONG,64,0,72,0
566,665,110.88,LONG,LONG,63,52,72,0
403,665,110.64,SINGLE,LONG,51,48,72,0

走着走着就散了,庄心妍,pinball\pinball_300547.xml.bytes,236,512
fire,1119704
405,39.36,*2,71,48
408,39.12,LONG,72,0
409,38.76,LONG,72,4
407,38.76,LONG,71,60
358,38.4,SINGLE,65,0
fire,1289451
358,405,77.76,SINGLE,*2,65,0,71,48
137,405,77.16,SERIES,*2,31,0,71,48
165,405,77.04,SERIES,*2,35,0,71,48
367,408,76.92,SINGLE,LONG,66,48,72,0
362,405,76.56,SINGLE,*2,65,48,71,48

Gee,少女时代,pinball\pinball_300442.xml.bytes,492,946
limit,1756453
133,37.2,LONG,21,24
130,37.08,LONG,21,16
134,36.84,LONG,21,28
135,36.84,LONG,21,32
131,36.72,LONG,21,16
fire,1860330
133,281,73.68,LONG,SERIES,21,24,37,0
130,281,73.56,LONG,SERIES,21,16,37,0
134,281,73.32,LONG,SERIES,21,28,37,0
135,281,73.32,LONG,SERIES,21,32,37,0
131,281,73.2,LONG,SERIES,21,16,37,0

动物森林,范玮琪,pinball\pinball_300004.xml.bytes,124,297
fire,840322
242,33.24,SINGLE,63,48
243,33.24,SINGLE,64,0
241,33,SINGLE,63,32
240,32.76,SINGLE,63,16
239,32.28,*2,63,0
fire,976232
97,239,64.8892,*2,*2,28,32,63,0
96,239,64.5988,SINGLE,*2,28,16,63,0
92,242,63.9873,*2,SINGLE,26,48,63,48
91,242,63.9369,SINGLE,SINGLE,26,32,63,48
208,242,63.84,SERIES,SINGLE,58,32,63,48

CALL ME BABY,EXO,pinball\pinball_300196.xml.bytes,173,412
fire,955060
141,39.6,*2,22,32
140,38.4,SINGLE,22,16
139,38.4,SLIP,22,0
138,38.4,SINGLE,21,56
116,38.4,SERIES,19,32
fire,1121605
141,316,77.28,*2,LONG,22,32,48,32
135,316,76.08,SINGLE,LONG,21,32,48,32
116,316,76.08,SERIES,LONG,19,32,48,32
140,316,76.08,SINGLE,LONG,22,16,48,32
137,316,76.08,SINGLE,LONG,21,48,48,32

Wake up!,AAA,pinball\pinball_300639.xml.bytes,242,747
limit,1949737
441,61.8,*2,67,0
429,60.24,*2,65,8
440,60.12,SLIP,66,48
439,59.88,SINGLE,66,40
428,59.88,SINGLE,65,0
fire,2184683
313,441,114.96,LONG,*2,54,48,67,0
314,441,114.6,LONG,*2,54,48,67,0
312,441,114.6,LONG,*2,54,44,67,0
334,441,114.6,SINGLE,*2,56,0,67,0
318,441,114.36,LONG,*2,55,0,67,0

Faded,Alan Walker,pinball\pinball_300008.xml.bytes,203,475
fire,857416
314,37.32,LONG,48,32
318,37.08,LONG,48,48
315,36.96,LONG,48,36
319,36.72,*2,48,48
316,36.6,LONG,48,40
fire,1016016
314,402,73.2,LONG,SLIP,48,32,56,0
318,402,72.96,LONG,SLIP,48,48,56,0
315,402,72.84,LONG,SLIP,48,36,56,0
319,402,72.6,*2,SLIP,48,48,56,0
